Year,Month,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
UTTARAKHAND,January,134.5,0,68,40,115.4,26.1,49.4,49.4,75.8,34.6,211.4,79,11.4,0.9,32.4,3.9,7.6,17.2,158.9,6.1,101,86.4,80.5,42.5,34.3,22,13.7,89.5,52.9,65.7,7.8,1.9,51.7,66.3,93,6.9,10.5,122.5,21.1,49.2,58.2,109,61.2,76.6,120.2,0.5,46.8,1.6,7.3,59.5,54,39.4,118.1,117.9,84.7,40.5,166.4,59.2,68,80,126.3,79.5,17.4,89.7,44.4,3.2,11,173.1,79.8,85.9,52.4,30.3,73,56.8,75.4,12.7,47,34.6,50.6,21.7,67.6,61.9,80.9,19.6,54.3,3.8,29.8,18.1,91,0.8,13.2,71.3,77.1,56.7,98.9,49.7,42.1,9.6,33,29.9,22.7,53.8,40.7,58.5,64.1,48.7,1.7,55.6,1.8,11.4,30.9,38.8,73,45.9,54.5
UTTARAKHAND,Febuary,81.4,17,7.9,5.2,80.7,162,131.6,74.6,43.1,38.8,4.2,31.1,91.8,119.9,126.3,35.6,55.4,0,46.7,52.7,5.6,34.4,146.6,60.1,17.7,28.2,121.8,150.1,33.2,72.7,89.9,18.5,67.2,10.4,34.5,54.7,149.3,85.4,82.1,100.5,37.3,81.8,17.6,72,4.5,47.9,52.2,103,135.5,30.3,41.8,61.1,14.8,155.7,14.2,24.9,6.6,16.5,93.3,1.4,133.7,86.3,35.5,72.5,159.5,86.6,35,122.8,43.1,44,101.4,91.7,65.7,28,70.5,58.4,7.8,83.1,68.4,55.7,27.8,58.6,45.5,128.9,9.6,68.4,61.7,81.6,14.7,97.1,58,32.5,70.3,84.2,123.6,89.6,14.9,68.4,11.4,69.4,27.9,123.2,126,11.7,83.2,9.6,138.9,11.7,27.6,62.1,65.2,11.9,188.3,99.9,62.6
UTTARAKHAND,March,44.5,52.2,87.6,78.3,99.8,36.8,144.4,6.3,8.7,12.1,190.3,44.5,70.3,115.7,101,1.9,64.9,73.9,44.1,100.7,12.5,11.7,18.5,27.7,11.7,143,53.2,27.2,16.9,52.1,45.1,34.3,23.4,21,26.7,42.2,7.2,7.5,39.2,57.3,14,17.6,27.8,62.6,39.3,20.4,47.7,121.6,32.4,55,46.8,125.5,18.3,22.3,51.9,105.3,77.5,38.7,58.1,97.1,24.1,68.7,130.9,75,119.3,48.9,112.5,62.9,49,32.7,45.3,44.7,47.8,18.2,69.6,31.2,4.5,187.3,65.9,60.3,81.3,143.2,92.1,14.6,14,85.4,30.3,136.5,30.3,91.3,52,46.1,162.8,11,79.9,67.1,31.2,106.2,1.4,37.9,83.4,100,99.7,0,54.2,71.7,123.1,18.1,18.8,3.8,18,28.1,22,68.4,127.3
UTTARAKHAND,April,5.9,63.7,10.3,13.6,26.1,10.1,41.7,31.8,64.6,21.4,20.4,27.8,24.4,50.2,40.6,20.6,80.1,85.6,40.2,10,19.7,21,10.8,6.8,43.5,52,24.5,40.2,21.7,34.8,1.9,12.8,52.6,8.6,37.8,33.6,43.9,4.5,15.5,21.8,4.4,53.4,53.5,51.2,42.7,64.8,1.6,23.8,29,2.7,30.7,19.9,34.7,5.2,41.1,15.1,73.3,23.3,20.3,33.5,20.5,27.3,51.4,48.4,62.1,17.8,26,49,60.7,5.7,69,50.5,1.8,12.2,1.1,22.1,65.2,51.2,23.6,15.6,23.7,78.2,132.9,42,40.9,70.7,48.8,26.3,9.9,20.4,51.6,2.9,19.8,69.8,41.4,28.4,90.5,73,1.2,18.1,48.2,76.3,54.1,51.5,12.8,52.2,41.1,93,18.4,13.8,30.9,39.2,24.7,37.6,57.3
UTTARAKHAND,May,60.8,52.1,37.5,61.1,70.3,44.6,57.6,46.3,16.5,59.3,19.5,51.4,98.3,82.3,57.2,49,118.2,46.5,51,65.3,3.6,12.1,26.9,43.4,57,57.8,66.8,18.6,20.6,39.6,56.9,27,89.4,20.6,4.2,92.8,47.6,37,9.1,44.2,67.4,34.9,15.9,18.4,16.5,121.5,49,35.1,59.7,40.2,61.7,34.8,71.2,27.6,19.8,132.4,75.9,26.3,49,24,41,21.5,49.3,95.2,44.1,76.7,23.2,15,77,68.9,270.2,7.4,44.8,22.1,36.4,40.5,101.1,51.8,64,21.3,77.4,77.1,101,27.5,63.5,149.7,148,45.3,28.5,81.6,21.2,31.5,71.7,75.6,34.6,18.3,56.1,78.5,50.5,83.3,109.1,82.3,67.1,66,52.1,120.5,78.8,67.3,77.6,47,84.2,9.1,18.2,52.9,38
UTTARAKHAND,June,33.6,113.1,83,180.1,111.5,195.6,74.8,144.9,306.5,231,204.1,103.1,289.1,141.3,129.8,373.8,298.1,237.6,278.4,221.7,364.1,125.1,84.8,39.4,309.1,34.8,210.2,114.5,138.7,126.5,55,95.7,227,201.7,44,345.1,172.7,293.6,213.1,136,200.3,191.5,134.4,192,90.6,193.1,126.8,53.2,52.4,240.1,74,241,181.8,111.6,151.4,213.9,113.4,95.3,118.8,132.4,181.2,150.9,193.1,162.7,50.3,270,122.6,218.6,89.6,192.9,297.8,62.8,254.3,86.5,219.9,87.6,122,291,110.2,175,162.1,90.6,114.1,300.1,104.4,141.6,55.9,129.7,117.9,120.3,81.8,117.5,144.7,112.1,138.5,181.6,129.8,163.3,158.9,313.9,297.3,139.6,145.2,130.7,74,104.2,139.9,332.4,41.9,72.7,223.1,46,488.9,62.9,186.6
UTTARAKHAND,July,381.1,444.1,251.6,449.6,299.9,363.9,342.3,411.4,565.8,505.6,149.3,333.5,261.8,563.3,370.2,432.3,561.2,225.8,372.5,472.5,329.3,507.1,372.5,450.2,554.5,475.3,308.9,468,279.7,399.7,319.1,343.5,466.8,459.4,385.1,570.8,398.7,459.2,352.9,395.1,171.5,481,283.2,354.4,468.6,565.1,383.4,337.1,450.2,492.8,200.9,346.1,617.5,472.6,356.1,466.4,532.1,436.6,483.5,466.7,490.1,402.2,360.9,463.8,388,363,436.3,393.6,381,319.2,332.8,315.4,265.9,392.9,403.1,269.2,487,414.3,323.5,466,488.1,264,261.3,359.3,451.7,418.3,190.3,490.9,333.4,473,219.8,254.4,309.4,476.9,358.3,308.1,290,242.9,389,420.1,493,205.7,515.3,400.9,400.1,345.6,522.9,313.3,157.5,455.8,433.3,387.1,413.4,462.7,337
UTTARAKHAND,August,612.3,327.5,442.7,417.2,349.5,440.9,323.8,423.5,464.2,526.8,381.9,423.2,188.7,377.8,539.9,397.7,372.7,397.2,295.9,307.1,652.8,685.2,427.9,414,384.5,400.7,516.8,251.4,403.2,348.3,307.2,438.9,337.3,410.4,308.1,390.4,439.6,396.4,199.3,300,354.1,455.8,590.9,194.7,379.8,311.5,274.2,592.5,414.5,493.4,403,506.4,338.9,567.3,429,359.3,286.5,436.2,442.3,420.7,511.6,398.2,523.4,402,302.8,410.3,518.7,280.6,483.5,355.3,377,218.8,297.9,347.3,359.6,328.5,292.3,528.4,276.1,322.7,263.5,435.1,312.9,237.7,389.4,281.7,261,390.8,386.6,413.6,346.7,385.1,282.3,428.2,430.7,441.1,73.3,260,285.5,536.1,371.7,465.4,416.2,326.3,249.2,294.7,502.8,245.8,202.6,335.7,523.7,419.5,359.4,264.2,305.3
UTTARAKHAND,September,167.1,220.4,249.3,174.1,129.5,232.2,28.2,56.2,94.4,253.9,266.4,259.3,49.5,439.6,178.3,280.1,405.7,101,242.6,76.9,299.5,320.9,289.9,651.5,65.9,133.3,159.9,29.7,65.2,76.5,335.3,326.9,151.2,97.1,174.8,241.2,211.7,110.8,186.2,82.6,95.7,223.8,181.4,144.5,391.8,114.9,350.5,205.1,204,160.8,204.2,82.4,125.8,217.2,236.3,182.7,308.3,233.4,294.6,189.2,226.4,341.5,345.1,327.6,87.5,125.7,146.5,109.6,345.6,157.8,155.9,212.6,130.8,102.6,322.8,129.3,208.3,324.8,37.7,133.5,103.1,110.7,320,173.5,228.2,155.5,123.9,202,183.5,179.1,126.4,152.4,447,98,282.8,185.6,36.4,120,217.9,195.3,68.3,301.3,239.9,96.8,337.9,79.1,325.6,190.8,206.6,389.7,148.4,220.6,111.3,107.9,52.6
UTTARAKHAND,October,16.3,31.9,57.5,6.3,0,11.6,0.4,2.5,8,264.6,19.7,2.2,12.1,27.1,12.9,83.8,115.8,4,14.2,12.9,55.8,3.8,69.4,128.1,20.1,10.2,120.8,6.3,44.5,21.6,105.8,6.3,128,1.6,3.6,19.8,15.8,11.4,24.2,1.4,32.3,1,0.2,21.4,92,48.7,16.6,50.7,22.2,2.7,13.5,11.2,9.8,148.6,271.2,370.4,57.7,78.9,87.9,76.6,122.7,8.6,10.8,1.3,33,35.1,22,13,25.3,30,79.5,18.8,46.8,46.9,21.8,5.6,30.1,16.9,11.7,37.3,4.6,17.8,53.8,3.2,220.5,61.6,20.2,16.6,12.3,14.6,0.5,9,1.5,5.3,5.1,31.4,9.9,75.5,32,1.1,6.3,19.9,1.8,70.7,14.1,18.8,25.1,23.1,81.3,8,3.4,4.7,29.1,40.8,16.8
